,timestamp,highest_layer,length,dest_ip,dest_port
426,1521394995.905646,TCP,66,172.17.0.2,8080
427,1521394995.907189,DATA-TEXT-LINES,471,172.17.0.1,39926
428,1521394995.907195,TCP,66,172.17.0.2,8080
429,1521394995.907377,TCP,66,172.17.0.1,39926
430,1521394995.911054,TCP,66,172.17.0.2,8080
431,1521394995.911073,TCP,66,172.17.0.1,39926
432,1521395000.997722,TCP,74,172.17.0.2,8080
433,1521395000.99774,TCP,74,172.17.0.1,48404
434,1521395000.997746,TCP,66,172.17.0.2,8080
435,1521395000.997805,HTTP,358,172.17.0.2,8080
436,1521395000.997816,TCP,66,172.17.0.1,48404
437,1521395001.045628,TCP,7306,172.17.0.1,48404
438,1521395001.045643,TCP,66,172.17.0.2,8080
439,1521395001.045651,TCP,1826,172.17.0.1,48404
440,1521395001.045654,TCP,66,172.17.0.2,8080
441,1521395001.045678,TCP,2785,172.17.0.1,48404
442,1521395001.045681,TCP,66,172.17.0.2,8080
443,1521395001.047197,DATA-TEXT-LINES,471,172.17.0.1,48404
444,1521395001.047205,TCP,66,172.17.0.2,8080
445,1521395001.050772,TCP,66,172.17.0.2,8080
446,1521395001.055355,TCP,66,172.17.0.1,48404
447,1521395001.055366,TCP,66,172.17.0.2,8080
448,1521395031.895322,TCP,74,172.17.0.2,8080
449,1521395031.89534,TCP,74,172.17.0.1,56412
450,1521395031.895345,TCP,66,172.17.0.2,8080
451,1521395031.895408,URLENCODED-FORM,969,172.17.0.2,8080
452,1521395031.895419,TCP,66,172.17.0.1,56412
453,1521395031.954225,TCP,7306,172.17.0.1,56412
454,1521395031.954238,TCP,66,172.17.0.2,8080
455,1521395031.954245,TCP,1826,172.17.0.1,56412
456,1521395031.954247,TCP,66,172.17.0.2,8080
457,1521395031.954271,TCP,3649,172.17.0.1,56412
458,1521395031.954274,TCP,66,172.17.0.2,8080
459,1521395031.95592,DATA-TEXT-LINES,471,172.17.0.1,56412
460,1521395031.955926,TCP,66,172.17.0.2,8080
461,1521395031.959984,TCP,66,172.17.0.2,8080
462,1521395031.965647,TCP,66,172.17.0.1,56412
463,1521395031.965659,TCP,66,172.17.0.2,8080
464,1521395034.210872,TCP,74,172.17.0.2,8080
465,1521395034.21089,TCP,74,172.17.0.1,60510
466,1521395034.210896,TCP,66,172.17.0.2,8080
467,1521395034.210954,URLENCODED-FORM,969,172.17.0.2,8080
468,1521395034.210965,TCP,66,172.17.0.1,60510
469,1521395034.293532,TCP,7306,172.17.0.1,60510
470,1521395034.293541,TCP,66,172.17.0.2,8080
471,1521395034.293549,TCP,1826,172.17.0.1,60510
472,1521395034.293551,TCP,66,172.17.0.2,8080
473,1521395034.293574,TCP,3679,172.17.0.1,60510
474,1521395034.293577,TCP,66,172.17.0.2,8080
475,1521395034.295152,DATA-TEXT-LINES,471,172.17.0.1,60510
476,1521395034.295156,TCP,66,172.17.0.2,8080
477,1521395034.299565,TCP,66,172.17.0.2,8080
478,1521395034.302881,TCP,66,172.17.0.1,60510
479,1521395034.302889,TCP,66,172.17.0.2,8080
480,1521395037.03503,TCP,74,172.17.0.2,8080
481,1521395037.035049,TCP,74,172.17.0.1,55308
482,1521395037.035054,TCP,66,172.17.0.2,8080
483,1521395037.038065,URLENCODED-FORM,974,172.17.0.2,8080
484,1521395037.038079,TCP,66,172.17.0.1,55308
485,1521395037.110389,TCP,7306,172.17.0.1,55308
486,1521395037.110407,TCP,66,172.17.0.2,8080
487,1521395037.110419,TCP,1826,172.17.0.1,55308
488,1521395037.110422,TCP,66,172.17.0.2,8080
489,1521395037.110504,TCP,3654,172.17.0.1,55308
490,1521395037.110511,TCP,66,172.17.0.2,8080
491,1521395037.116765,DATA-TEXT-LINES,471,172.17.0.1,55308
